district,date,month,year,dvisitors_2016
Adilabad,1/1/2016,January,2016,792136
Adilabad,1/2/2016,February,2016,937820
Adilabad,1/3/2016,March,2016,582946
Adilabad,1/4/2016,April,2016,341948
Adilabad,1/5/2016,May,2016,252887
Adilabad,1/6/2016,June,2016,368237
Adilabad,1/7/2016,July,2016,447562
Adilabad,1/8/2016,August,2016,614285
Adilabad,1/9/2016,September,2016,491279
Adilabad,1/10/2016,October,2016,94184
Adilabad,1/11/2016,November,2016,99148
Adilabad,1/12/2016,December,2016,53125
Bhadradri Kothagudem ,1/1/2016,January,2016, 
Bhadradri Kothagudem ,1/2/2016,February,2016, 
Bhadradri Kothagudem ,1/3/2016,March,2016, 
Bhadradri Kothagudem ,1/4/2016,April,2016, 
Bhadradri Kothagudem ,1/5/2016,May,2016, 
Bhadradri Kothagudem ,1/6/2016,June,2016, 
Bhadradri Kothagudem ,1/7/2016,July,2016, 
Bhadradri Kothagudem ,1/8/2016,August,2016, 
Bhadradri Kothagudem ,1/9/2016,September,2016, 
Bhadradri Kothagudem ,1/10/2016,October,2016,310133
Bhadradri Kothagudem ,1/11/2016,November,2016,252127
Bhadradri Kothagudem ,1/12/2016,December,2016,326770
Hyderabad,1/1/2016,January,2016,1122510
Hyderabad,1/2/2016,February,2016,778748
Hyderabad,1/3/2016,March,2016,1017794
Hyderabad,1/4/2016,April,2016,1127738
Hyderabad,1/5/2016,May,2016,1287181
Hyderabad,1/6/2016,June,2016,12032661
Hyderabad,1/7/2016,July,2016,1096754
Hyderabad,1/8/2016,August,2016,1061137
Hyderabad,1/9/2016,September,2016,832987
Hyderabad,1/10/2016,October,2016,901960
Hyderabad,1/11/2016,November,2016,909733
Hyderabad,1/12/2016,December,2016,1225502
Jagtial ,1/1/2016,January,2016, 
Jagtial ,1/2/2016,February,2016, 
Jagtial ,1/3/2016,March,2016, 
Jagtial ,1/4/2016,April,2016, 
Jagtial ,1/5/2016,May,2016, 
Jagtial ,1/6/2016,June,2016, 
Jagtial ,1/7/2016,July,2016, 
Jagtial ,1/8/2016,August,2016, 
Jagtial ,1/9/2016,September,2016, 
Jagtial ,1/10/2016,October,2016,201249
Jagtial ,1/11/2016,November,2016,214534
Jagtial ,1/12/2016,December,2016,207294
Jangaon ,1/1/2016,January,2016, 
Jangaon ,1/2/2016,February,2016, 
Jangaon ,1/3/2016,March,2016, 
Jangaon ,1/4/2016,April,2016, 
Jangaon ,1/5/2016,May,2016, 
Jangaon ,1/6/2016,June,2016, 
Jangaon ,1/7/2016,July,2016, 
Jangaon ,1/8/2016,August,2016, 
Jangaon ,1/9/2016,September,2016, 
